Gene symbol	TCGA-05-4244-01	TCGA-05-4249-01	TCGA-05-4250-01	TCGA-05-4382-01	TCGA-05-4384-01
MYL5	151.1127	53.2227	39.927	102.4054	120.0733
MYL6B	445.4141	283.6439	752.7149	590.6026	492.975
MYL6	15975.5651	13417.5465	24005.6371	21608.447	10240.6842
MYL7	0	0	0	0	0
MYL9	2568.4615	1845.7779	5821.4375	7722.8236	2148.4423
MYLIP	1018.2389	1951.0577	577.6341	545.3742	825.2902
MYLK2	3.1416	1.6098	3.9791	6.9398	1.2217
MYLK3	3.8398	14.4881	5.6371	72.9878	15.8827
MYLK4	10.123	166.4516	6.9634	38.528	31.1546
MYLK	745.6148	1156.7648	4275.1886	4857.5369	2104.4594
MYLPF	1.0472	3.2196	0	2.1537	1.8326
MYNN	427.2624	403.0898	541.8221	475.7367	387.9047
MYO10	1775.7221	1830.324	1676.2	1114.6787	3010.9957
MYO15A	41.5394	9.3367	14.5901	50.4932	24.4349
MYO15B	984.7282	506.7599	1930.5314	690.6318	918.7538
MYO16	2.4435	6.1172	6.9634	5.7433	21.3806
MYO18A	1613.5649	1945.7809	2429.389	1333.7425	1349.8717
MYO18B	0	3.5415	0.6632	138.3178	0.6109
MYO19	1553.2525	638.4176	2205.5608	912.8185	477.4465
MYO1A	4.5379	4.1854	1.9896	8.3756	5.4979
MYO1B	3012.1302	2962.0019	3319.5722	3653.4565	3726.3286
MYO1C	5674.1426	3362.516	5711.3488	7537.1236	7344.5327
MYO1D	1224.5397	6377.3188	3377.6009	3036.5304	2389.1265
MYO1E	1519.8534	955.5676	2810.9094	1318.5659	938.9126
MYO1F	565.4944	597.2297	520.6002	825.1207	802.6878
MYO1G	5165.8958	1037.3446	388.958	983.7794	390.3482
MYO1H	6.2833	0.322	1.9896	3.8289	1.8326
MYO3A	0.6981	1.2878	0.3316	0.2393	74.5266
MYO3B	1.3963	5.4733	260.6317	52.8862	0
MYO5A	676.8479	629.1034	789.5217	1075.1936	813.0727
MYO5B	1058.7311	1087.2479	1782.6411	1844.7957	1516.1881
